,prod_id,prod_desc,prod_long_desc,theme_name,ages,piece_count,set_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
10087,10846,blah,blahblah,DUPLO®,2-5,28,Flo's Café,PL,66.69709999999999,3.0,5.0,Easy,5.0,4.5
10088,10507,blah,blahblah,DUPLO®,2-5,52,My First Train Set,PL,63.7971,11.0,4.9,Easy,4.7,4.4
10089,10864,blah,blahblah,DUPLO®,2-5,71,Large Playground Brick Box,PL,57.9971,,,nan,,
10090,10841,blah,blahblah,DUPLO®,2-5,61,Fun Family Fair,PL,55.0971,,,nan,,
10091,10844,blah,blahblah,DUPLO®,2-5,70,Minnie Mouse Bow-tique,PL,52.1971,,,nan,,
10092,10835,blah,blahblah,DUPLO®,2-5,69,Family House,PL,49.2971,,,nan,,
10093,10827,blah,blahblah,DUPLO®,2-5,48,Mickey & Friends Beach House,PL,46.3971,3.0,5.0,Very Easy,5.0,5.0
10094,10854,blah,blahblah,DUPLO®,2-5,120,LEGO® DUPLO® Creative Box,PL,43.4971,,,nan,,
10095,10823,blah,blahblah,DUPLO®,2-5,28,Batwing Adventure,PL,40.5971,3.0,4.3,Average,4.3,3.3
10096,10876,blah,blahblah,DUPLO®,2-5,38,Spider-Man & Hulk Adventures,PL,40.5971,,,nan,,
10097,10878,blah,blahblah,DUPLO®,2-5,37,Rapunzel´s Tower,PL,40.5971,1.0,5.0,Very Easy,5.0,5.0
10098,10834,blah,blahblah,DUPLO®,2-5,57,Pizzeria,PL,37.6971,2.0,5.0,Average,5.0,5.0
10099,10857,blah,blahblah,DUPLO®,2-5,31,Piston Cup Race,PL,37.6971,1.0,5.0,Easy,5.0,4.0
10100,10863,blah,blahblah,DUPLO®,1½-3,34,My First Animal Brick Box,PL,37.6971,,,nan,,
10101,10868,blah,blahblah,DUPLO®,2-5,59,Farm Pony Stable,PL,37.6971,,,nan,,
10102,10572,blah,blahblah,DUPLO®,1½-5,65,LEGO® DUPLO® All-in-One-Box-of-Fun,PL,34.79709999999999,4.0,4.8,Very Easy,5.0,4.0
10103,10597,blah,blahblah,DUPLO®,2-5,24,Mickey & Minnie Birthday Parade,PL,31.897099999999995,4.0,5.0,Easy,4.8,4.7
10104,10865,blah,blahblah,DUPLO®,1½-5,70,Fun Creations,PL,31.897099999999995,,,nan,,
10105,10592,blah,blahblah,DUPLO®,2-5,26,Fire Truck,PL,28.9971,2.0,5.0,Very Easy,5.0,5.0
10106,10845,blah,blahblah,DUPLO®,1½-3,24,My First Carousel,PL,28.9971,6.0,2.2,Average,2.2,3.2
10107,10839,blah,blahblah,DUPLO®,2-5,32,Shooting Gallery,PL,28.9971,,,nan,,
10108,10871,blah,blahblah,DUPLO®,2-5,29,Airport,PL,28.9971,,,nan,,
10109,10856,blah,blahblah,DUPLO®,2-5,23,Mater´s Shed,PL,26.0971,1.0,5.0,Easy,5.0,5.0
10110,10877,blah,blahblah,DUPLO®,2-5,19,Belle´s Tea Party,PL,26.0971,1.0,3.0,nan,4.0,4.0
10111,10847,blah,blahblah,DUPLO®,1½-3,23,Number Train,PL,23.197099999999995,5.0,5.0,Easy,5.0,4.8
10112,10812,blah,blahblah,DUPLO®,2-5,26,Truck & Tracked Excavator,PL,23.197099999999995,2.0,5.0,Average,5.0,5.0
10113,10816,blah,blahblah,DUPLO®,1½-5,36,My First Cars and Trucks,PL,23.197099999999995,6.0,4.8,Easy,5.0,4.7
10114,10833,blah,blahblah,DUPLO®,2-5,39,Preschool,PL,23.197099999999995,2.0,5.0,Average,5.0,5.0
10115,10867,blah,blahblah,DUPLO®,2-5,26,Farmers' Market,PL,23.197099999999995,,,nan,,
10116,10848,blah,blahblah,DUPLO®,1½-3,80,My First Bricks,PL,23.197099999999995,,,nan,,
10117,10818,blah,blahblah,DUPLO®,1½-5,29,My First Truck,PL,23.197099999999995,,,nan,,
10118,10861,blah,blahblah,DUPLO®,1½-3,28,My First Emotions,PL,23.197099999999995,,,nan,,
10119,10843,blah,blahblah,DUPLO®,2-5,15,Mickey Racer,PL,20.2971,,,nan,,
10120,10862,blah,blahblah,DUPLO®,1½-3,41,My First Celebration,PL,20.2971,,,nan,,
10121,10832,blah,blahblah,DUPLO®,2-5,19,Birthday Picnic,PL,17.3971,,,nan,,
10122,10809,blah,blahblah,DUPLO®,2-5,15,Police Patrol,PL,17.3971,1.0,3.0,Easy,4.0,3.0
10123,2304,blah,blahblah,DUPLO®,1½-5,1,LEGO® DUPLO® Green Baseplate,PL,17.3971,15.0,4.4,Easy,4.0,3.3
10124,10870,blah,blahblah,DUPLO®,2-5,16,Farm Animals,PL,11.5971,,,nan,,
10125,10838,blah,blahblah,DUPLO®,2-5,15,Family Pets,PL,11.5971,2.0,5.0,Very Easy,5.0,5.0
10126,10858,blah,blahblah,DUPLO®,1½-3,18,My First Puzzle Pets,PL,11.5971,,,nan,,
10127,10851,blah,blahblah,DUPLO®,1½-3,6,My First Bus,PL,5.7971,,,nan,,
10128,10859,blah,blahblah,DUPLO®,1½-3,6,My First Ladybug,PL,5.7971,,,nan,,
10129,10860,blah,blahblah,DUPLO®,1½-3,6,My First Race Car,PL,5.7971,,,nan,,
10130,41194,blah,blahblah,Elves,9-12,646,Noctura's Tower & the Earth Fox Rescue,PL,81.19709999999998,2.0,5.0,nan,4.5,3.0
10131,41193,blah,blahblah,Elves,8-12,451,Aira & the Song of the Wind Dragon,PL,52.1971,2.0,4.5,Average,5.0,4.5
10132,41192,blah,blahblah,Elves,8-12,360,Azari & the Fire Lion Capture,PL,40.5971,2.0,4.0,Average,4.0,3.5
10133,41191,blah,blahblah,Elves,7-12,205,Naida & the Water Turtle Ambush,PL,34.79709999999999,2.0,5.0,Average,5.0,5.0
10134,41190,blah,blahblah,Elves,7-12,149,Emily Jones & the Eagle Getaway,PL,20.2971,2.0,5.0,Easy,5.0,5.0
10135,41188,blah,blahblah,Elves,8-12,695,Breakout from the Goblin King's Fortress,PL,89.8971,1.0,,nan,5.0,
10136,41187,blah,blahblah,Elves,8-12,460,Rosalyn's Healing Hideout,PL,66.69709999999999,6.0,4.5,Average,4.3,4.2
10137,41183,blah,blahblah,Elves,8-12,339,The Goblin King's Evil Dragon,PL,40.5971,8.0,4.3,Average,4.3,4.4
10138,41186,blah,blahblah,Elves,7-12,145,Azari & the Goblin Forest Escape,PL,26.0971,2.0,5.0,Average,5.0,3.5
10139,41318,blah,blahblah,Friends,7-12,871,Heartlake Hospital,PL,115.9971,4.0,5.0,Average,4.8,4.0
10140,41130,blah,blahblah,Friends,8-12,1124,Amusement Park Roller Coaster,PL,115.9971,17.0,4.8,Average,4.8,4.5
10141,41317,blah,blahblah,Friends,7-12,603,Sunshine Catamaran,PL,86.9971,2.0,5.0,Challenging,4.5,5.0
10142,41314,blah,blahblah,Friends,6-12,622,Stephanie's House,PL,86.9971,8.0,4.6,Average,4.1,3.3
10143,41126,blah,blahblah,Friends,6-12,575,Heartlake Riding Club,PL,86.9971,5.0,5.0,Average,5.0,5.0
10144,41340,blah,blahblah,Friends,6-12,722,Friendship House,PL,86.9971,7.0,4.6,Average,4.1,4.0
10145,41339,blah,blahblah,Friends,7-12,488,Mia's Camper Van,PL,72.4971,,,nan,,
10146,41324,blah,blahblah,Friends,8-12,585,Snow Resort Ski Lift,PL,72.4971,3.0,3.3,Average,3.7,3.7
10147,41313,blah,blahblah,Friends,6-12,589,Heartlake Summer Pool,PL,57.9971,6.0,4.8,Easy,4.5,4.0
10148,41338,blah,blahblah,Friends,6-12,460,Stephanie's Sports Arena,PL,52.1971,1.0,4.0,Average,4.0,1.0
10149,41323,blah,blahblah,Friends,7-12,402,Snow Resort Chalet,PL,52.1971,4.0,5.0,Average,5.0,4.5
10150,41320,blah,blahblah,Friends,6-12,370,Heartlake Frozen Yogurt Shop,PL,52.1971,,,nan,,
10151,41325,blah,blahblah,Friends,6-12,326,Heartlake City Playground,PL,52.1971,3.0,4.0,Challenging,3.7,3.0
